Order,Component,Type
1,一,kanji
2,1,word-component
3,つう,word-reading
4,つ,word
5,一つ,word
6,。,sentence-component
7,七,kanji
8,方,kanji
9,一方,word
10,は,word
11,九,kanji
12,日,kanji
13,土,kanji
14,寸,kanji
15,寺,kanji
16,時,kanji
17,時,word
18,一時,word
19,の,word
20,二,kanji
21,釆,radical
22,田,kanji
23,番,kanji
24,一番,word
25,た,word
26,人,kanji
27,舟,kanji
28,几,radical
29,又,kanji
30,殳,radical
31,般,kanji
32,一般,word
33,を,word
34,入,kanji
35,立,kanji
36,口,kanji
37,咅,kanji
38,邑,kanji
39,邑(⻏),kanji-variant
40,部,kanji
41,一部,word
42,に,word
43,八,kanji
44,7,word-component
45,七,word
46,で,word
47,じゃ。,sentence
48,て,word
49,力,kanji
50,3,word-component
51,三,kanji
52,三,word
53,だ,word
54,十,kanji
55,不,kanji
56,水,kanji
57,水(氵),kanji-variant
58,儿,radical
59,兄,kanji
60,況,kanji
61,不況,word
62,が,word
63,与,kanji
64,党,kanji
65,与党,word
66,戊,kanji
67,成,kanji
68,成る,word
69,為,kanji
70,為る,word
71,上,kanji
72,世,kanji
73,人(𠆢),kanji-variant
74,介,kanji
75,界,kanji
76,世界,word
77,彳,radical
78,皮,kanji
79,彼,kanji
80,彼,word
81,下,kanji
82,中,kanji
83,央,kanji
84,中央,word
85,、,sentence-component
86,千,kanji
87,心,kanji
88,中心,word
89,尸,radical
90,古,kanji
91,居,kanji
92,居る,word
93,9,word-component
94,九,word
95,予,kanji
96,宀,radical
97,定,kanji
98,予定,word
99,ます,word
100,夕,kanji
101,竹,kanji
102,目,kanji
103,廾,radical
104,算,kanji
105,予算,word
106,と,word
107,大,kanji
108,事,kanji
109,人(亻),kanji-variant
110,牛,kanji
111,件,kanji
112,事件,word
113,火,kanji
114,火(灬),kanji-variant
115,無,kanji
116,無い,word
117,ない,word
118,彼はいないだろう。,sentence
119,女,kanji
120,矛,kanji
121,務,kanji
122,事務,word
123,か,word
124,子,kanji
125,戸,kanji
126,戸(戶),kanji-variant
127,斤,kanji
128,所,kanji
129,所,word
130,事務所,word
131,事務所にいます。,sentence
132,です,word
133,小,kanji
134,実,kanji
135,事実,word
136,其,kanji
137,其の,word
138,じゃあその時に。,sentence
139,山,kanji
140,その時にしていただろう。,sentence
141,心(忄),kanji-variant
142,青,kanji
143,情,kanji
144,事情,word
145,も,word
146,川,kanji
147,厶,radical
148,能,kanji
149,態,kanji
150,事態,word
151,月,kanji
152,有,kanji
153,有る,word
154,予定があるんだ。,sentence
155,攵,kanji
156,故,kanji
157,事故,word
158,事故があった。,sentence
159,こと,word
160,五,kanji
161,艸,kanji
162,艸(䒑),kanji-variant
163,未,kanji
164,業,kanji
165,事業,word
166,よ,word
167,彼にするよ。,sentence
168,亠,radical
169,六,kanji
170,2,word-component
171,二,word
172,円,kanji
173,二人,word
174,トム,sentence-component
175,トムがいない。,sentence
176,天,kanji
177,トムではないか。,sentence
178,5,word-component
179,トムでは無いのですか。,sentence
180,五,word
181,？,sentence-component
182,いる?,sentence
183,手,kanji
184,父,kanji
185,交,kanji
186,𠫓,kanji
187,㐬,kanji
188,流,kanji
189,交流,word
190,文,kanji
191,止,kanji
192,丿,radical
193,少,kanji
194,歩,kanji
195,渉,kanji
196,交渉,word
197,匕,radical
198,此,kanji
199,此の,word
200,このことはなかったことにしよう。,sentence
201,人々,word
202,丁,kanji
203,亍,kanji
204,行,kanji
205,行く,word
206,じゃあ、行こっか？,sentence
207,人口,word
208,トムも行くの？,sentence
209,辵,kanji
210,行かないと。,sentence
211,辵(⻍),kanji-variant
212,羊,kanji
213,達,kanji
214,達,word
215,木,kanji
216,人(𠂉),kanji-variant
217,乙,kanji
218,乙(⺄),kanji-variant
219,气,radical
220,気,kanji
221,人気,word
222,人気があるのですか。,sentence
223,卩,radical
224,彼は一般に人々に人気がある。,sentence
225,卸,kanji
226,御,kanji
227,御,word
228,門,kanji
229,間,kanji
230,人間,word
231,彼は、人間です。,sentence
232,から,word
233,だから？,sentence
234,亼,kanji
235,今,kanji
236,今(㇇),kanji-variant
237,囗,radical
238,回,kanji
239,今回,word
240,今回はしないよ。,sentence
241,丶,radical
242,艮,radical
243,良,kanji
244,良い,word
245,いいよ。,sentence
246,犬,kanji
247,よくなった？,sentence
248,年,kanji
249,彼はこのことをしなくてもよい。,sentence
250,今年,word
251,ず,word
252,トムがいません。,sentence
253,王,kanji
254,後,kanji
255,今後,word
256,れる,word
257,屮,radical
258,凵,radical
259,出,kanji
260,今月,word
261,人,word
262,いい人です。,sentence
263,右,kanji
264,士,kanji
265,仕,kanji
266,仕事,word
267,仕事がありますか。,sentence
268,来,kanji
269,来る,word
270,トムが来た。,sentence
271,四,kanji
272,弋,radical
273,代,kanji
274,表,kanji
275,代表,word
276,貝,kanji
277,貴,kanji
278,貴方,word
279,あなたですか？,sentence
280,工,kanji
281,貴方達は、人間です。,sentence
282,左,kanji
283,以,kanji
284,以来,word
285,てる,word
286,仕事してたよ。,sentence
287,本,kanji
288,企,kanji
289,企業,word
290,見,kanji
291,見る,word
292,その人を見なかった？,sentence
293,正,kanji
294,云,kanji
295,会,kanji
296,員,kanji
297,会員,word
298,トムは会員ですか？,sentence
299,ばっ,word-component
300,ば,word
301,あなたは仕事をしなければならない。,sentence
302,玉,kanji
303,示,kanji
304,社,kanji
305,会社,word
306,トムは会社にいる？,sentence
307,禾,kanji
308,私,kanji
309,私,word
310,あなたが来れば私は行きます。,sentence
311,私達,word
312,わたしには仕事が一番です。,sentence
313,生,kanji
314,私は、トムにされたことをトムにはしません。,sentence
315,会見,word
